"word1"	"word2"	"word3"	"word4"	"word5"	"freq"
"41"	"off"	"to"	"a"	"great"	"start"	2
"42"	"on"	"the"	"other"	"hand"	"is"	2
"43"	"one"	"of"	"the"	"characters"	"wanting"	2
"44"	"part"	"in"	"the"	"secret"	"recipe"	2
"45"	"put"	"a"	"gun"	"to"	"my"	2
"46"	"thank"	"you"	"so"	"much"	"for"	2
"47"	"thanks"	"for"	"the"	"shout"	"out"	2
"48"	"the"	"chuck"	"shaffer"	"picture"	"show"	2
"49"	"they"	"would"	"still"	"be"	"there"	2
"50"	"to"	"be"	"a"	"part"	"of"	2
"51"	"to"	"be"	"one"	"of"	"the"	2
"52"	"to"	"my"	"head"	"and"	"paint"	2
"53"	"to"	"the"	"bottom"	"of"	"the"	2
"54"	"want"	"to"	"be"	"part"	"of"	2
"55"	"were"	"not"	"just"	"talking"	"about"	2
"56"	"when"	"are"	"you"	"coming"	"to"	2
"57"	"a"	"a"	"b"	"day"	"schedule"	1
"58"	"a"	"a"	"tasty"	"dinner"	"make"	1
"59"	"a"	"a"	"tune"	"called"	"chronic"	1
"60"	"a"	"addict"	"got"	"a"	"lotta"	1
"61"	"a"	"and"	"i"	"told"	"her"	1
"62"	"a"	"approximately"	"with"	"an"	"error"	1
"63"	"a"	"arm"	"and"	"a"	"leg"	1
"64"	"a"	"b"	"day"	"schedule"	"i"	1
"65"	"a"	"babbling"	"creek"	"makes"	"all"	1
"66"	"a"	"baby"	"girl"	"we"	"are"	1
"67"	"a"	"backoftheenvelope"	"calculation"	"they"	"would"	1
"68"	"a"	"backup"	"battery"	"alarm"	"clock"	1
"69"	"a"	"bad"	"movie"	"called"	"alabama"	1
"70"	"a"	"bad"	"sign"	"when"	"antonio"	1
"71"	"a"	"bad"	"slide"	"as"	"an"	1
"72"	"a"	"bad"	"way"	"to"	"start"	1
"73"	"a"	"bahutier"	"made"	"bahuts"	"which"	1
"74"	"a"	"balanced"	"life"	"with"	"time"	1
"75"	"a"	"balkan"	"academy"	"is"	"needed"	1
"76"	"a"	"ball"	"absolutely"	"terrified"	"and"	1
"77"	"a"	"ball"	"n"	"the"	"ocean"	1
"78"	"a"	"ball"	"of"	"some"	"sort"	1
"79"	"a"	"ball"	"on"	"my"	"nose"	1
"80"	"a"	"balloon"	"whisk"	"constantly"	"until"	1
"81"	"a"	"bang"	"that"	"threw"	"up"	1
"82"	"a"	"bang"	"then"	"a"	"louder"	1
"83"	"a"	"bar"	"called"	"the"	"cursing"	1
"84"	"a"	"barangay"	"head"	"in"	"a"	1
"85"	"a"	"barolo"	"clone"	"or"	"some"	1
"86"	"a"	"bartender"	"a"	"maid"	"and"	1
"87"	"a"	"base"	"i"	"used"	"wonderful"	1
"88"	"a"	"baseball"	"has"	"a"	"mass"	1
"89"	"a"	"basement"	"on"	"a"	"cold"	1
"90"	"a"	"bat"	"chucked"	"with"	"a"	1
"91"	"a"	"batch"	"of"	"homemade"	"hummus"	1
"92"	"a"	"batch"	"on"	"saturday"	"because"	1
"93"	"a"	"bath"	"have"	"you"	"got"	1
"94"	"a"	"beat"	"down"	"on"	"the"	1
"95"	"a"	"beautiful"	"accent"	"and"	"i"	1
"96"	"a"	"beautiful"	"and"	"rare"	"can"	1
"97"	"a"	"beautiful"	"day"	"in"	"the"	1
"98"	"a"	"beautiful"	"day"	"oh"	"that"	1
"99"	"a"	"beautiful"	"day"	"with"	"very"	1
"100"	"a"	"beautiful"	"face"	"a"	"beautiful"	1
"101"	"a"	"beautiful"	"mind"	"now"	"fix"	1
"102"	"a"	"beautiful"	"nite"	"sit"	"on"	1
"103"	"a"	"beaver"	"with"	"speed"	"and"	1
"104"	"a"	"belgian"	"tripel"	"especially"	"one"	1
"105"	"a"	"belieber"	"when"	"you"	"cant"	1
"106"	"a"	"belief"	"that"	"the"	"strong"	1
"107"	"a"	"belly"	"button"	"ring"	"at"	1
"108"	"a"	"belt"	"at"	"all"	"times"	1
"109"	"a"	"bench"	"the"	"raccoon"	"curled"	1
"110"	"a"	"better"	"future"	"for"	"them"	1
"111"	"a"	"better"	"listener"	"its"	"noble"	1
"112"	"a"	"better"	"measure"	"of"	"what"	1
"113"	"a"	"better"	"mood"	"today"	"green"	1
"114"	"a"	"better"	"strategist"	"than"	"your"	1
"115"	"a"	"better"	"understanding"	"as"	"to"	1
"116"	"a"	"big"	"boy"	"to"	"ride"	1
"117"	"a"	"big"	"camera"	"they"	"might"	1
"118"	"a"	"big"	"chi"	"town"	"dog"	1
"119"	"a"	"big"	"deal"	"at"	"the"	1
"120"	"a"	"big"	"deal"	"but"	"any"	1
"121"	"a"	"big"	"deal"	"for"	"me"	1
"122"	"a"	"big"	"deal"	"it"	"doesnt"	1
"123"	"a"	"big"	"eddy"	"on"	"river"	1
"124"	"a"	"big"	"fan"	"of"	"radishes"	1
"125"	"a"	"big"	"ouch"	"hilarity"	"followed"	1
"126"	"a"	"big"	"part"	"of"	"our"	1
"127"	"a"	"big"	"prehistoric"	"thingy"	"around"	1
"128"	"a"	"big"	"really"	"snicker"	"omg"	1
"129"	"a"	"big"	"royals"	"fan"	"too"	1
"130"	"a"	"big"	"sign"	"of"	"the"	1
"131"	"a"	"big"	"thanks"	"to"	"lori"	1
"132"	"a"	"big"	"thanks"	"to"	"the"	1
"133"	"a"	"billion"	"government"	"fund"	"to"	1
"134"	"a"	"bird"	"sounds"	"or"	"a"	1
"135"	"a"	"bird"	"to"	"dip"	"into"	1
"136"	"a"	"bishops"	"advisory"	"panel"	"known"	1
"137"	"a"	"bit"	"baroque"	"but"	"there"	1
"138"	"a"	"bit"	"cloudy"	"from"	"silt"	1
"139"	"a"	"bit"	"intense"	"for"	"you"	1
"140"	"a"	"bit"	"into"	"the"	"project"	1
"141"	"a"	"bit"	"more"	"detail"	"of"	1
"142"	"a"	"bit"	"more"	"lehman"	"sisters"	1
"143"	"a"	"bit"	"of"	"a"	"harking"	1
"144"	"a"	"bit"	"of"	"a"	"hemorrhoid"	1
"145"	"a"	"bit"	"of"	"a"	"nightmare"	1
"146"	"a"	"bit"	"of"	"a"	"simplified"	1
"147"	"a"	"bit"	"of"	"hummus"	"feel"	1
"148"	"a"	"bit"	"of"	"measurement"	"measure"	1
"149"	"a"	"bit"	"older"	"i"	"would"	1
"150"	"a"	"bit"	"until"	"then"	"be"	1
"151"	"a"	"bit"	"we"	"headed"	"over"	1
"152"	"a"	"bit"	"will"	"i"	"send"	1
"153"	"a"	"black"	"woman"	"crying"	"while"	1
"154"	"a"	"blast"	"and"	"was"	"beside"	1
"155"	"a"	"blast"	"to"	"be"	"with"	1
"156"	"a"	"blender"	"today"	"and"	"already"	1
"157"	"a"	"bless"	"n"	"productive"	"day"	1
"158"	"a"	"blessing"	"savior"	"holding"	"up"	1
"159"	"a"	"blind"	"eye"	"to"	"a"	1
"160"	"a"	"blog"	"post"	"by"	"the"	1
"161"	"a"	"blog"	"to"	"check"	"out"	1
"162"	"a"	"blog"	"why"	"dont"	"you"	1
"163"	"a"	"blogger"	"who"	"may"	"not"	1
"164"	"a"	"bloke"	"with"	"a"	"big"	1
"165"	"a"	"bloody"	"insurrection"	"and"	"civil"	1
"166"	"a"	"boat"	"kobe"	"bryant"	"haha"	1
"167"	"a"	"bonfire"	"with"	"me"	"and"	1
"168"	"a"	"book"	"about"	"the"	"future"	1
"169"	"a"	"book"	"come"	"and"	"learn"	1
"170"	"a"	"book"	"in"	"it"	"then"	1
"171"	"a"	"book"	"published"	"years"	"or"	1
"172"	"a"	"book"	"twice"	"the"	"soldiers"	1
"173"	"a"	"book"	"we"	"both"	"love"	1
"174"	"a"	"book"	"well"	"all"	"right"	1
"175"	"a"	"book"	"written"	"by"	"mike"	1
"176"	"a"	"born"	"and"	"raised"	"california"	1
"177"	"a"	"bottle"	"it"	"was"	"whilst"	1
"178"	"a"	"bottle"	"rt"	"la"	"cumbre"	1
"179"	"a"	"bow"	"to"	"an"	"ear"	1
"180"	"a"	"bowl"	"of"	"kashi"	"cereal"	1
"181"	"a"	"box"	"gives"	"them"	"license"	1
"182"	"a"	"boy"	"it"	"took"	"us"	1
"183"	"a"	"bracelet"	"id"	"chosen"	"toiletries"	1
"184"	"a"	"brand"	"i"	"havent"	"explored"	1
"185"	"a"	"brandspankinnew"	"dvd"	"bluray"	"player"	1
"186"	"a"	"brat"	"no"	"matter"	"how"	1
"187"	"a"	"brat"	"with"	"just"	"a"	1
"188"	"a"	"break"	"i"	"am"	"happy"	1
"189"	"a"	"breakout"	"hit"	"in"	"america"	1
"190"	"a"	"brew"	"and"	"watch"	"our"	1
"191"	"a"	"brilliant"	"album"	"with"	"josh"	1
"192"	"a"	"broiler"	"pan"	"they"	"will"	1
"193"	"a"	"broken"	"leg"	"im"	"going"	1
"194"	"a"	"brown"	"bag"	"with"	"maas"	1
"195"	"a"	"brunette"	"of"	"precisely"	"the"	1
"196"	"a"	"brutal"	"government"	"rehabilitation"	"camp"	1
"197"	"a"	"bubba"	"truck"	"hope"	"youre"	1
"198"	"a"	"bunch"	"if"	"random"	"good"	1
"199"	"a"	"bunch"	"of"	"personal"	"touches"	1
"200"	"a"	"bunch"	"of"	"radishes"	"left"	1
"201"	"a"	"bunch"	"of"	"wonderful"	"intelligent"	1
"202"	"a"	"burning"	"and"	"shining"	"lamp"	1
"203"	"a"	"business"	"have"	"fun"	"precisely"	1
"204"	"a"	"business"	"meeting"	"early"	"tomorrow"	1
"205"	"a"	"busy"	"week"	"of"	"preparations"	1
"206"	"a"	"but"	"that"	"is"	"a"	1
"207"	"a"	"butterfly"	"meadows"	"papercraft"	"toppers"	1
"208"	"a"	"c"	"on"	"its"	"macro"	1
"209"	"a"	"cake"	"for"	"my"	"birthday"	1
"210"	"a"	"calendar"	"to"	"figure"	"out"	1
"211"	"a"	"call"	"back"	"my"	"friend"	1
"212"	"a"	"call"	"to"	"catch"	"up"	1
"213"	"a"	"called"	"strike"	"three"	"a"	1
"214"	"a"	"camera"	"to"	"see"	"all"	1
"215"	"a"	"candidate"	"at"	"his"	"agemoney"	1
"216"	"a"	"candy"	"bar"	"as"	"a"	1
"217"	"a"	"car"	"but"	"you"	"cant"	1
"218"	"a"	"car"	"dealer"	"may"	"be"	1
"219"	"a"	"car"	"just"	"turned"	"myself"	1
"220"	"a"	"card"	"for"	"each"	"season"	1
"221"	"a"	"card"	"stamp"	"inked"	"with"	1
"222"	"a"	"card"	"using"	"just"	"elements"	1
"223"	"a"	"care"	"in"	"the"	"world"	1
"224"	"a"	"careerending"	"football"	"injury"	"picking"	1
"225"	"a"	"carlsbad"	"attorney"	"who"	"handles"	1
"226"	"a"	"case"	"of"	"surge"	"will"	1
"227"	"a"	"catchbecause"	"the"	"contract"	"has"	1
"228"	"a"	"cellphone"	"the"	"phone"	"has"	1
"229"	"a"	"ceremonial"	"first"	"pitch"	"before"	1
"230"	"a"	"certain"	"client"	"surprise"	"theyre"	1
"231"	"a"	"certain"	"height"	"have"	"a"	1
"232"	"a"	"certain"	"number"	"of"	"council"	1
"233"	"a"	"certain"	"set"	"of"	"attitudes"	1
"234"	"a"	"certain"	"set"	"of"	"circumstances"	1
"235"	"a"	"challenge"	"theme"	"for"	"your"	1
"236"	"a"	"champion"	"bser"	"come"	"on"	1
"237"	"a"	"champion"	"of"	"and"	"for"	1
"238"	"a"	"chance"	"of"	"rain"	"so"	1
"239"	"a"	"chance"	"of"	"winning"	"simply"	1
"240"	"a"	"change"	"from"	"the"	"runofthemill"	1
"241"	"a"	"chaos"	"dread"	"reloaded"	"the"	1
"242"	"a"	"chemistry"	"major"	"back"	"in"	1
"243"	"a"	"chief"	"creative"	"officer"	"how"	1
"244"	"a"	"child"	"fall"	"asleep"	"in"	1
"245"	"a"	"child"	"i"	"was"	"unaware"	1
"246"	"a"	"child"	"of"	"about"	"six"	1
"247"	"a"	"child"	"of"	"god"	"with"	1
"248"	"a"	"choice"	"and"	"im"	"making"	1
"249"	"a"	"choice"	"that"	"you"	"make"	1
"250"	"a"	"choice"	"then"	"those"	"who"	1
"251"	"a"	"chris"	"brown"	"pic"	"lol"	1
"252"	"a"	"christian"	"organization"	"not"	"one"	1
"253"	"a"	"chronic"	"currentaccount"	"deficit"	"it"	1
"254"	"a"	"chronicle"	"about"	"the"	"labyrinth"	1
"255"	"a"	"chunti"	"voice"	"but"	"i"	1
"256"	"a"	"church"	"like"	"that"	"and"	1
"257"	"a"	"church"	"that"	"can"	"say"	1
"258"	"a"	"church"	"william"	"paca"	"elem"	1
"259"	"a"	"cinematic"	"quality"	"but"	"are"	1
"260"	"a"	"circle"	"being"	"careful"	"not"	1
"261"	"a"	"class"	"ii"	"damreleased"	"river"	1
"262"	"a"	"classic"	"movie"	"for"	"classy"	1
"263"	"a"	"classic"	"of"	"paranormal"	"investigative"	1
"264"	"a"	"classroom"	"door"	"he"	"would"	1
"265"	"a"	"clay"	"county"	"jury"	"acquitted"	1
"266"	"a"	"clean"	"week"	"cr"	"avoid"	1
"267"	"a"	"clearwatered"	"lake"	"i"	"wish"	1
"268"	"a"	"client"	"an"	"email"	"copy"	1
"269"	"a"	"client"	"will"	"from"	"then"	1
"270"	"a"	"cliffhanger"	"to"	"be"	"continued"	1
"271"	"a"	"clone"	"of"	"this"	"grape"	1
"272"	"a"	"close"	"walk"	"away"	"im"	1
"273"	"a"	"closer"	"view"	"a"	"little"	1
"274"	"a"	"clothes"	"dryer"	"and"	"asks"	1
"275"	"a"	"cloud"	"profile"	"where"	"you"	1
"276"	"a"	"cm"	"gash"	"in"	"his"	1
"277"	"a"	"coarse"	"mixture"	"to"	"give"	1
"278"	"a"	"coarser"	"material"	"that"	"falls"	1
"279"	"a"	"coat"	"which"	"has"	"been"	1
"280"	"a"	"cocktail"	"i"	"luv"	"thatjust"	1
"281"	"a"	"coconutalmond"	"granola"	"recipe"	"ill"	1
"282"	"a"	"coffee"	"house"	"and"	"talk"	1
"283"	"a"	"coffee"	"shop"	"and"	"a"	1
"284"	"a"	"coffee"	"shop"	"that"	"was"	1
"285"	"a"	"cold"	"winter"	"walk"	"at"	1
"286"	"a"	"cold"	"winters"	"night"	"his"	1
"287"	"a"	"color"	"consultant"	"named"	"leslie"	1
"288"	"a"	"color"	"i"	"cant"	"live"	1
"289"	"a"	"color"	"purple"	"kind"	"of"	1
"290"	"a"	"color"	"variant"	"becomes"	"too"	1
"291"	"a"	"coma"	"when"	"he"	"finds"	1
"292"	"a"	"combination"	"of"	"the"	"last"	1
"293"	"a"	"comic"	"as"	"a"	"genre"	1
"294"	"a"	"comic"	"book"	"movie"	"girl"	1
"295"	"a"	"comicturnedmovie"	"although"	"from"	"what"	1
"296"	"a"	"comment"	"here"	"with"	"a"	1
"297"	"a"	"comment"	"notification"	"in"	"my"	1
"298"	"a"	"comment"	"on"	"their"	"blog"	1
"299"	"a"	"comment"	"on"	"tuesdays"	"blog"	1
"300"	"a"	"commercial"	"flight"	"but"	"rest"	1
"301"	"a"	"committed"	"nerd"	"would"	"notice"	1
"302"	"a"	"common"	"event"	"coach"	"if"	1
"303"	"a"	"commonplace"	"environment"	"at"	"an"	1
"304"	"a"	"community"	"center"	"the"	"kids"	1
"305"	"a"	"company"	"would"	"not"	"give"	1
"306"	"a"	"comparison"	"over"	"the"	"last"	1
"307"	"a"	"compliment"	"i"	"love"	"black"	1
"308"	"a"	"compliment"	"you"	"egotistical"	"whore"	1
"309"	"a"	"concern"	"troll"	"and"	"instructed"	1
"310"	"a"	"concert"	"at"	"sacandaga"	"bible"	1
"311"	"a"	"confession"	"i"	"have"	"feelings"	1
"312"	"a"	"conflict"	"begins"	"and"	"ends"	1
"313"	"a"	"connection"	"between"	"the"	"walter"	1
"314"	"a"	"continent"	"that"	"was"	"emerging"	1
"315"	"a"	"conversation"	"forward"	"im"	"proud"	1
"316"	"a"	"conversation"	"in"	"a"	"coffee"	1
"317"	"a"	"convo"	"about"	"a"	"certain"	1
"318"	"a"	"convo"	"overheard"	"in"	"the"	1
"319"	"a"	"cool"	"noise"	"indeed"	"they"	1
"320"	"a"	"cooling"	"rack"	"set"	"into"	1
"321"	"a"	"copy"	"of"	"my"	"recording"	1
"322"	"a"	"copy"	"of"	"wally"	"lambs"	1
"323"	"a"	"corner"	"shoplot"	"in"	"ss"	1
"324"	"a"	"correlation"	"between"	"a"	"persons"	1
"325"	"a"	"corrupt"	"system"	"when"	"dismissing"	1
"326"	"a"	"corruption"	"the"	"best"	"construction"	1
"327"	"a"	"costbenefit"	"analysis"	"thinking"	"about"	1
"328"	"a"	"cosy"	"chat"	"at"	"a"	1
"329"	"a"	"cottage"	"in"	"co"	"clare"	1
"330"	"a"	"cough"	"suppressant"	"she"	"reluctantly"	1
"331"	"a"	"counsellor"	"in"	"high"	"school"	1
"332"	"a"	"couple"	"hours"	"it"	"was"	1
"333"	"a"	"couple"	"i"	"like"	"and"	1
"334"	"a"	"couple"	"months"	"of"	"training"	1
"335"	"a"	"couple"	"more"	"beads"	"some"	1
"336"	"a"	"couple"	"of"	"days"	"guy"	1
"337"	"a"	"couple"	"of"	"lighthouse"	"photos"	1
"338"	"a"	"couple"	"of"	"strips"	"of"	1
"339"	"a"	"couple"	"of"	"summers"	"ago"	1
"340"	"a"	"couple"	"of"	"times"	"he"	1
"341"	"a"	"courtesy"	"by"	"the"	"airport"	1
"342"	"a"	"cover"	"genius"	"more"	"on"	1
"343"	"a"	"crackle"	"stamp"	"pressed"	"into"	1
"344"	"a"	"crazy"	"ride"	"inspire"	"those"	1
"345"	"a"	"creative"	"person"	"who"	"was"	1
"346"	"a"	"crew"	"of"	"avon"	"ladies"	1
"347"	"a"	"crime"	"james"	"russell"	"lowell"	1
"348"	"a"	"crime"	"scene"	"they"	"try"	1
"349"	"a"	"criminal"	"one"	"comes"	"before"	1
"350"	"a"	"crumbling"	"marriage"	"a"	"tornado"	1
"351"	"a"	"cuckolded"	"husband"	"matt"	"king"	1
"352"	"a"	"cupcake"	"newsblog"	"thing"	"i"	1
"353"	"a"	"curved"	"beak"	"might"	"one"	1
"354"	"a"	"curved"	"beak"	"that"	"allows"	1
"355"	"a"	"custom"	"muppet"	"that"	"is"	1
"356"	"a"	"customer"	"who"	"was"	"unlucky"	1
"357"	"a"	"cut"	"in"	"my"	"mouth"	1
"358"	"a"	"cute"	"image"	"of"	"a"	1
"359"	"a"	"cute"	"little"	"box"	"of"	1
"360"	"a"	"cute"	"little"	"house"	"you"	1
"361"	"a"	"cute"	"story"	"about"	"an"	1
"362"	"a"	"cuteness"	"reduction"	"cuteness"	"to"	1
"363"	"a"	"dairy"	"where"	"plants"	"grow"	1
"364"	"a"	"damn"	"thing"	"they"	"for"	1
"365"	"a"	"damn"	"thing"	"to"	"watch"	1
"366"	"a"	"dance"	"for"	"me"	"to"	1
"367"	"a"	"dark"	"room"	"and"	"you"	1
"368"	"a"	"dark"	"time"	"of"	"year"	1
"369"	"a"	"date"	"north"	"american"	"tour"	1
"370"	"a"	"date"	"yet"	"but"	"i"	1
"371"	"a"	"daughter"	"keep"	"her"	"off"	1
"372"	"a"	"day"	"days"	"a"	"year"	1
"373"	"a"	"day"	"endures"	"countless"	"taunts"	1
"374"	"a"	"day"	"game"	"so"	"sat"	1
"375"	"a"	"day"	"if"	"youre"	"feeling"	1
"376"	"a"	"day"	"in"	"the"	"life"	1
"377"	"a"	"day"	"investors"	"were"	"willing"	1
"378"	"a"	"day"	"just"	"for"	"a"	1
"379"	"a"	"day"	"keeps"	"everybody"	"away"	1
"380"	"a"	"day"	"keeps"	"the"	"dr"	1
"381"	"a"	"day"	"like"	"today"	"would"	1
"382"	"a"	"day"	"lose"	"weight"	"and"	1
"383"	"a"	"day"	"now"	"youve"	"become"	1
"384"	"a"	"day"	"of"	"caring"	"to"	1
"385"	"a"	"day"	"to"	"be"	"inside"	1
"386"	"a"	"day"	"which"	"is"	"awesome"	1
"387"	"a"	"day"	"without"	"saying"	"justin"	1
"388"	"a"	"day"	"yet"	"should"	"know"	1
"389"	"a"	"deadline"	"a"	"resolution"	"is"	1
"390"	"a"	"deadpan"	"backwoods"	"wit"	"to"	1
"391"	"a"	"deal"	"done"	"with"	"buffalo"	1
"392"	"a"	"deal"	"if"	"this"	"happens"	1
"393"	"a"	"deal"	"ive"	"been"	"left"	1
"394"	"a"	"deal"	"with"	"the"	"devil"	1
"395"	"a"	"decade"	"of"	"steady"	"declines"	1
"396"	"a"	"decent"	"man"	"he"	"was"	1
"397"	"a"	"decent"	"night"	"out"	"mind"	1
"398"	"a"	"decent"	"pic"	"of"	"mefor"	1
"399"	"a"	"definite"	"end"	"or"	"has"	1
"400"	"a"	"degree"	"of"	"imagination"	"and"	1
"401"	"a"	"deli"	"negotiation"	"going"	"on"	1
"402"	"a"	"delicious"	"shrimp"	"salad"	"thats"	1
"403"	"a"	"delightful"	"tunesmith"	"richard"	"rodgers"	1
"404"	"a"	"depressed"	"section"	"of"	"roadway"	1
"405"	"a"	"descendant"	"of"	"slave"	"owners"	1
"406"	"a"	"desolate"	"desert"	"populated"	"only"	1
"407"	"a"	"desperate"	"corporate"	"ceo"	"worrying"	1
"408"	"a"	"dessert"	"chocolate"	"cake"	"from"	1
"409"	"a"	"detector"	"it"	"produced"	"the"	1
"410"	"a"	"diameter"	"circle"	"of"	"batting"	1
"411"	"a"	"diccup"	"till"	"you"	"hiccup"	1
"412"	"a"	"difference"	"in"	"the"	"lives"	1
"413"	"a"	"different"	"cut"	"or"	"notch"	1
"414"	"a"	"different"	"manner"	"but"	"unlike"	1
"415"	"a"	"different"	"person"	"and"	"theyre"	1
"416"	"a"	"different"	"recipe"	"and"	"yesterday"	1
"417"	"a"	"different"	"story"	"it"	"has"	1
"418"	"a"	"difficult"	"color"	"i"	"much"	1
"419"	"a"	"difficult"	"one"	"will"	"it"	1
"420"	"a"	"difficult"	"pitcherwhile"	"lucroy"	"doubled"	1
"421"	"a"	"dignified"	"whisper"	"until"	"the"	1
"422"	"a"	"direction"	"though"	"rarely"	"a"	1
"423"	"a"	"disability"	"but"	"natural"	"selection"	1
"424"	"a"	"disease"	"may"	"be"	"the"	1
"425"	"a"	"dm"	"to"	"so"	"long"	1
"426"	"a"	"doctor"	"for"	"something"	"like"	1
"427"	"a"	"doctor"	"of"	"some"	"dubious"	1
"428"	"a"	"document"	"listing"	"all"	"of"	1
"429"	"a"	"documentary"	"called"	"slavery"	"by"	1
"430"	"a"	"dog"	"articles"	"on"	"digital"	1
"431"	"a"	"dog"	"itll"	"need"	"a"	1
"432"	"a"	"dog"	"send"	"me"	"your"	1
"433"	"a"	"dog"	"while"	"making"	"his"	1
"434"	"a"	"dogfish"	"head"	"midas"	"touch"	1
"435"	"a"	"dogmay"	"get"	"peebles"	"from"	1
"436"	"a"	"dollar"	"for"	"everytime"	"i"	1
"437"	"a"	"dolly"	"dress"	"for"	"puppy"	1
"438"	"a"	"door"	"bell"	"childrens"	"voices"	1
"439"	"a"	"dope"	"beat"	"and"	"hook"	1
"440"	"a"	"dozen"	"living"	"writers"	"just"	1
"441"	"a"	"dozen"	"pizzas"	"and"	"a"	1
"442"	"a"	"dream"	"and"	"a"	"wish"	1
"443"	"a"	"dress"	"and"	"add"	"a"	1
"444"	"a"	"drink"	"and"	"celebrate"	"the"	1
"445"	"a"	"drive"	"to"	"the"	"shore"	1
"446"	"a"	"drop"	"in"	"the"	"sink"	1
"447"	"a"	"drug"	"bust"	"at"	"texas"	1
"448"	"a"	"drunk"	"guy"	"offered"	"up"	1
"449"	"a"	"dude"	"talk"	"about"	"his"	1
"450"	"a"	"dvd"	"of"	"the"	"season"	1
"451"	"a"	"email"	"ship"	"date"	"tbd"	1
"452"	"a"	"empty"	"paper"	"to"	"write"	1
"453"	"a"	"extra"	"pair"	"of"	"tickets"	1
"454"	"a"	"f"	"up"	"phone"	"interview"	1
"455"	"a"	"fabulous"	"trip"	"to"	"maui"	1
"456"	"a"	"face"	"the"	"one"	"shes"	1
"457"	"a"	"facial"	"call"	"us"	"or"	1
"458"	"a"	"facility"	"that"	"resembles"	"an"	1
"459"	"a"	"factor"	"this"	"could"	"change"	1
"460"	"a"	"failed"	"eas"	"test"	"in"	1
"461"	"a"	"fair"	"amount"	"of"	"trouble"	1
"462"	"a"	"fair"	"target"	"for"	"her"	1
"463"	"a"	"fairer"	"is"	"a"	"false"	1
"464"	"a"	"fairly"	"strong"	"fragrance"	"too"	1
"465"	"a"	"fairly"	"uncharted"	"period"	"in"	1
"466"	"a"	"fairly"	"uncharted"	"region"	"ie"	1
"467"	"a"	"faith"	"group"	"knowing"	"the"	1
"468"	"a"	"faithful"	"old"	"friend"	"who"	1
"469"	"a"	"fake"	"noodle"	"a"	"an"	1
"470"	"a"	"fake"	"punt"	"at"	"their"	1
"471"	"a"	"false"	"sense"	"of"	"security"	1
"472"	"a"	"family"	"birthday"	"outing"	"at"	1
"473"	"a"	"family"	"right"	"now"	"we"	1
"474"	"a"	"familys"	"history"	"of"	"shame"	1
"475"	"a"	"fan"	"of"	"but"	"appreciate"	1
"476"	"a"	"fan"	"of"	"wendys"	"frosties"	1
"477"	"a"	"fan"	"of"	"your"	"blog"	1
"478"	"a"	"fan"	"video"	"for"	"austin"	1
"479"	"a"	"fancy"	"but"	"cheap"	"leatherbound"	1
"480"	"a"	"fantastic"	"show"	"this"	"evening"	1
"481"	"a"	"far"	"cry"	"from"	"the"	1
"482"	"a"	"fat"	"arse"	"and"	"i"	1
"483"	"a"	"fatal"	"accident"	"at"	"he"	1
"484"	"a"	"fate"	"that"	"threatens"	"not"	1
